rank,study_area_name,acres_per_1000,median_household_income,no_high_school_diploma_pct,park_acres,need_description,walkable_percentage,source_context
131,City of LA Arleta - Pacoima,4.540436,59845.0,41.0,6619.44212776,High,37.23389871,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
132,City of LA Wilmington - Harbor City / City of LA Port of Los Angeles,4.574369,55186.0,36.0,6855.24600071,Moderate,61.76412707,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
133,Santa Clarita - South,4.776954,93105.0,10.0,24128.18082145,Moderate,16.17664343,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
134,City of Palmdale - Westside,4.9,84213.0,15.0,33244.54946204,Low,19.41086375,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
135,City of LA Baldwin Hills - Leimert - Hyde Park,5.577321,44025.0,18.0,4452.56497057,High,50.24760212,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
136,City of Santa Fe Springs,5.759331,69331.0,20.0,5684.36650292,Low,67.46609385,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
137,City of Calabasas,5.8,138714.0,3.0,8292.98589416,Very Low,55.56269433,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
138,City of Rolling Hills Estates / Unincorporated Westfield,5.993033,175804.0,2.0,2743.35672785,Very Low,61.01732565,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
139,City of Pasadena - Westside,6.106014,90744.0,10.0,9454.47529778,Moderate,58.31159283,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
140,City of LA Brentwood - Pacific Palisades,6.523099,164440.0,2.0,24319.32346322,Moderate,29.70495518,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
141,City of LA Northeast Los Angeles - South,6.609527,51864.0,34.0,6066.58085389,Moderate,61.90893071,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
142,Unincorporated Malibu,6.806363,181293.0,3.0,31700.95380313,Low,19.07801413,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
143,Unincorporated Lake Los Angeles /  Unincorp Pearblossom /  Unincorp Liano /  Unincorp Valyermo,7.148299,50478.0,26.0,175160.95866969,Very Low,1.91314598,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
144,City of Walnut,7.553551,111989.0,7.0,5744.03478245,Very Low,76.0,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
145,City of Signal Hill,8.151555,81851.0,14.0,1407.8447828,Very Low,97.0520244,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
146,City of LA Sunland - Tujunga - Lake View Terrace - Shadow Hills,8.599252,76261.0,14.0,16428.80193837,Low,42.8268028,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
147,City of Long Beach East / Unincorporated Long Beach,8.601173,105432.0,5.0,9887.23079675,Low,43.16646932,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
148,City of LA San Pedro / City of LA Port of Los Angeles / Unincorporated La Rambla,8.744505,70935.0,17.0,8333.63129727,Moderate,88.96336754,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
149,City of LA Encino - Tarzana,8.805535,96514.0,6.0,12988.79854464,Moderate,10.459357,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
150,City of LA Silver Lake - Echo Park - Elysian Valley,8.837859,74284.0,16.0,4552.37148682,Moderate,55.52375453,L.A. County Park Needs Assessment Demographics; sorted by Acres/1000 ascending; dropped the 10 smallest and 10 largest valid positive non-aggregate study areas
